trial,pgo,d,RT
1209,0.75,1,348
1210,0.75,1,348
1211,0.75,1,349
1212,0.75,1,349
1213,0.75,1,349
1214,0.75,1,350
1215,0.75,1,350
1216,0.75,1,350
1217,0.75,1,350
1218,0.75,1,350
1219,0.75,1,350
1220,0.75,1,351
1221,0.75,1,351
1222,0.75,1,351
1223,0.75,1,352
1224,0.75,1,352
1225,0.75,1,353
1226,0.75,1,353
1227,0.75,1,353
1228,0.75,1,353
1229,0.75,1,353
1230,0.75,1,353
1231,0.75,1,354
1232,0.75,1,354
1233,0.75,1,354
1234,0.75,1,355
1235,0.75,1,355
1236,0.75,1,356
1237,0.75,1,356
1238,0.75,1,356
1239,0.75,1,356
1240,0.75,1,356
1241,0.75,1,357
1242,0.75,1,357
1243,0.75,1,358
1244,0.75,1,359
1245,0.75,1,359
1246,0.75,1,359
1247,0.75,1,359
1248,0.75,1,359
1249,0.75,1,360
1250,0.75,1,360
1251,0.75,1,360
1252,0.75,1,361
1253,0.75,1,361
1254,0.75,1,362
1255,0.75,1,362
1256,0.75,1,362
1257,0.75,1,362
1258,0.75,1,362
1259,0.75,1,363
1260,0.75,1,364
1261,0.75,1,365
1262,0.75,1,365
1263,0.75,1,366
1264,0.75,1,366
1265,0.75,1,366
1266,0.75,1,367
1267,0.75,1,367
1268,0.75,1,368
1269,0.75,1,368
1270,0.75,1,368
1271,0.75,1,369
1272,0.75,1,369
1273,0.75,1,369
1274,0.75,1,369
1275,0.75,1,369
1276,0.75,1,369
1277,0.75,1,370
1278,0.75,1,370
1279,0.75,1,370
1280,0.75,1,371
1281,0.75,1,371
1282,0.75,1,372
1283,0.75,1,372
1284,0.75,1,373
1285,0.75,1,373
1286,0.75,1,373
1287,0.75,1,373
1288,0.75,1,374
1289,0.75,1,375
1290,0.75,1,375
1291,0.75,1,375
1292,0.75,1,376
1293,0.75,1,377
1294,0.75,1,377
1295,0.75,1,377
1296,0.75,1,378
1297,0.75,1,378
1298,0.75,1,378
1299,0.75,1,378
1300,0.75,1,379
1301,0.75,1,379
1302,0.75,1,379
1303,0.75,1,380
1304,0.75,1,380
1305,0.75,1,380
1306,0.75,1,380
1307,0.75,1,381
1308,0.75,1,381
1309,0.75,1,381
1310,0.75,1,382
1311,0.75,1,382
1312,0.75,1,382
1313,0.75,1,382
1314,0.75,1,383
1315,0.75,1,383
1316,0.75,1,384
1317,0.75,1,385
1318,0.75,1,386
1319,0.75,1,387
1320,0.75,1,387
1321,0.75,1,388
1322,0.75,1,388
1323,0.75,1,388
1324,0.75,1,388
1325,0.75,1,388
1326,0.75,1,389
1327,0.75,1,390
1328,0.75,1,391
1329,0.75,1,391
1330,0.75,1,392
1331,0.75,1,392
1332,0.75,1,393
1333,0.75,1,393
1334,0.75,1,394
1335,0.75,1,394
1336,0.75,1,395
1337,0.75,1,396
1338,0.75,1,396
1339,0.75,1,400
1340,0.75,1,400
1341,0.75,1,401
1342,0.75,1,401
1343,0.75,1,403
1344,0.75,1,403
1345,0.75,1,404
1346,0.75,1,404
1347,0.75,1,405
1348,0.75,1,405
1349,0.75,1,406
1350,0.75,1,406
1351,0.75,1,407
1352,0.75,1,408
1353,0.75,1,408
1354,0.75,1,411
1355,0.75,1,412
1356,0.75,1,412
